URL,TEXT
https://www.walgreens.com/store/c/productlist/N=364222/1/Brands=yes,Avari
https://www.walgreens.com/store/c/productlist/N=350735/1/Brands=yes,Aveda
https://www.walgreens.com/store/c/productlist/N=219/1/Brands=yes,Aveeno
https://www.walgreens.com/store/c/productlist/N=303691/1/Brands=yes,Avena
https://www.walgreens.com/store/c/productlist/N=358764/1/Brands=yes,Avene
https://www.walgreens.com/store/c/productlist/N=363/1/Brands=yes,Avent
https://www.walgreens.com/store/c/productlist/N=3910/1/Brands=yes,AXE
https://www.walgreens.com/store/c/productlist/N=1892/1/Brands=yes,Ayr
https://www.walgreens.com/store/c/productlist/N=2218/1/Brands=yes,AZO
https://www.walgreens.com/store/c/productlist/N=522466/1/Brands=yes,Aztec Secret
https://www.walgreens.com/store/c/productlist/N=308562/1/Brands=yes,Azzaro
https://www.walgreens.com/store/c/productlist/N=9000147362/1/Brands=yes,B F Ascher
https://www.walgreens.com/store/c/productlist/N=9000151740/1/Brands=yes,B Swish
https://www.walgreens.com/store/c/productlist/N=9000152954/1/Brands=yes,b.tan
https://www.walgreens.com/store/c/productlist/N=581/1/Brands=yes,Baby Magic
https://www.walgreens.com/store/c/productlist/N=302018/1/Brands=yes,Baby Ruth
https://www.walgreens.com/store/c/productlist/N=9000153351/1/Brands=yes,Baby Secrets
https://www.walgreens.com/store/c/productlist/N=359676/1/Brands=yes,Babyganics
https://www.walgreens.com/store/c/productlist/N=366412/1/Brands=yes,Bacardi
https://www.walgreens.com/store/c/productlist/N=357883/1/Brands=yes,Bach
https://www.walgreens.com/store/c/productlist/N=2616/1/Brands=yes,Bacitraycin Plus
https://www.walgreens.com/store/c/productlist/N=359797/1/Brands=yes,Back Booster
https://www.walgreens.com/store/c/productlist/N=307072/1/Brands=yes,Backaid
https://www.walgreens.com/store/c/productlist/N=416/1/Brands=yes,Bactine
https://www.walgreens.com/store/c/productlist/N=376431/1/Brands=yes,BACtrack
https://www.walgreens.com/store/c/productlist/N=358781/1/Brands=yes,Badger
https://www.walgreens.com/store/c/productlist/N=366121/1/Brands=yes,Bagel Bites
https://www.walgreens.com/store/c/productlist/N=451852/1/Brands=yes,Bai
https://www.walgreens.com/store/c/productlist/N=376890/1/Brands=yes,Bailey's
https://www.walgreens.com/store/c/productlist/N=374433/1/Brands=yes,Bakenets
https://www.walgreens.com/store/c/productlist/N=304409/1/Brands=yes,Bald Guyz
https://www.walgreens.com/store/c/productlist/N=520425/1/Brands=yes,Ball Bounce
https://www.walgreens.com/store/c/productlist/N=352334/1/Brands=yes,Ball Park
https://www.walgreens.com/store/c/productlist/N=374147/1/Brands=yes,"Ball, Bounce & Sport"
https://www.walgreens.com/store/c/productlist/N=2059/1/Brands=yes,Balmex
https://www.walgreens.com/store/c/productlist/N=942/1/Brands=yes,Balneol
https://www.walgreens.com/store/c/productlist/N=686/1/Brands=yes,Ban
https://www.walgreens.com/store/c/productlist/N=181/1/Brands=yes,Banana Boat
https://www.walgreens.com/store/c/productlist/N=522131/1/Brands=yes,Band Aid Brand
https://www.walgreens.com/store/c/productlist/N=1914/1/Brands=yes,Band-Aid
https://www.walgreens.com/store/c/productlist/N=375707/1/Brands=yes,Bandai of America
https://www.walgreens.com/store/c/productlist/N=352415/1/Brands=yes,Banquet
https://www.walgreens.com/store/c/productlist/N=519957/1/Brands=yes,Banzai
https://www.walgreens.com/store/c/productlist/N=900065146/1/Brands=yes,Bar Keeper's Friend
